survey_id,StartDate,duration_sec,user_ID,age,sex,degree,adults,children,does_groceries,diet,share_store,share_online,share_meal_box,share_veggie_box,share_farm_store,share_out-of-home,share_other,other_def,apps_used,apps_name,env_attitude_1,env_attitude_2,env_attitude_3_inv,env_attitude_4,SelfEff_1,SelfEff_2,SelfEff_3,barriers_desc,knowledge_1_score,knowledge_2_score,env_attitude,SelfEff,knowledge_score,state_helped_goals,state_helped_control,state_helped_change,intention_1,intention_2,spillover_1,spillover_2,UX_1_supportive,UX_2_easy,UX_3_efficient,UX_4_clear,UX_5_exciting,UX_6_interesting,UX_7_inventive,UX_8_leading,state_accept_alt,state_use_future,intention,spillover,UX8,UX10,helpful
T2 (end),2023-05-23T15:04:05Z,256,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,agree,strongly disagree,strongly agree,agree,agree,somewhat agree,Laziness and the desire to eat out of season fruit/vegetables,100,58.33,6.75,5.666666666666667,79.16499999999999,agree,somewhat agree,neither agree nor disagree,somewhat likely,Somewhat much,somewhat agree,neither agree nor disagree,Slightly supportive,Very easy,Very efficient,Very clear,Slightly exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,agree,5,4.5,6.125,5.9,5
T2 (end),2023-05-23T15:57:17Z,8203,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,disagree,agree,somewhat agree,somewhat agree,agree,NA,71.43,45.83,5.75,5.333333333333333,58.63,somewhat agree,agree,somewhat agree,likely,Somewhat much,strongly agree,somewhat agree,Neither supportive nor obstructive,Slightly easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,agree,5.5,6,5.375,5.3,5.333333333333333
T2 (end),2023-05-24T12:05:26Z,465,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,"Access to foods, cost/finances, balancing with nutrition, mix of easy to store or cook and time to cook, and balancing environmental interests (low water consumption, low plastics).",100,95.83,5.5,3.6666666666666665,97.91499999999999,neither agree nor disagree,somewhat agree,disagree,somewhat unlikely,Neither much nor little,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Slightly inventive,Slightly leading edge,Slightly easy,neither agree nor disagree,3.5,5,5.25,5.1,3.6666666666666665
T2 (end),2023-05-25T09:21:34Z,500,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,"Lack of choice between higher and lower footprint options. For example, can't buy some types of frozen veg, only green veg available fresh is airfreighted, alternative swaps are not similar replacements.",92.86,83.33,5.75,4.666666666666667,88.095,somewhat agree,agree,somewhat agree,somewhat likely,Somewhat much,somewhat agree,disagree,Supportive,Slightly complicated,Efficient,Very clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Difficult,disagree,5,3.5,5.625,4.9,5.333333333333333
T2 (end),2023-05-25T10:58:16Z,761,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,agree,agree,NA,85.71,70.83,5.25,5.666666666666667,78.27,somewhat agree,strongly agree,somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Slightly easy,Slightly efficient,Clear,Neither exciting nor boring,Very interesting,Slightly inventive,Neither leading edge nor usual,Slightly easy,agree,5,4,5.125,5.2,5.666666666666667
T2 (end),2023-05-25T11:51:53Z,339,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,agree,strongly disagree,strongly agree,agree,somewhat agree,somewhat agree,Knowing differences between certain foods and why ie. Different types of cheese,50,50,6.75,5.333333333333333,50,agree,strongly agree,strongly agree,very likely,Much,agree,agree,Neither supportive nor obstructive,Very easy,Efficient,Clear,Slightly exciting,Interesting,Very inventive,Very leading edge,Easy,strongly agree,6.5,6,5.875,6,6.666666666666667
T2 (end),2023-05-26T12:05:44Z,312,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,disagree,somewhat agree,agree,agree,agree,NA,100,91.67,5.5,6,95.83500000000001,agree,strongly agree,strongly agree,likely,Much,disagree,disagree,Very supportive,Very easy,Very efficient,Moderately clear,Exciting,Very interesting,Inventive,Leading edge,Easy,strongly agree,6,2,6.5,6.5,6.666666666666667
T2 (end),2023-05-26T16:54:41Z,311,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,Packaging of foods and lack of knowledge of the alternatives.,42.86,50,4.75,5.333333333333333,46.43,agree,agree,neither agree nor disagree,likely,Much,agree,agree,Very supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Very leading edge,Neither easy nor difficult,agree,6,6,6,5.8,5.333333333333333
T2 (end),2023-05-27T07:06:53Z,294,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,disagree,agree,agree,somewhat agree,agree,NA,78.57,54.17,6,5.666666666666667,66.37,agree,somewhat agree,somewhat agree,likely,Very much,neither agree nor disagree,neither agree nor disagree,Supportive,Slightly complicated,Neither efficient nor inefficient,Confusing,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly easy,agree,6.5,4,4.625,4.8,5.333333333333333
T2 (end),2023-05-31T16:14:29Z,1297,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,agree,disagree,agree,strongly agree,somewhat agree,somewhat agree,"access to low carbon footprint stores/shops, time",42.86,70.83,6.25,5.666666666666667,56.845,agree,agree,agree,likely,Much,agree,somewhat agree,Supportive,Easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Slightly leading edge,Very easy,strongly agree,6,5.5,5.625,5.9,6
T2 (end),2023-06-01T10:48:12Z,396,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,somewhat agree,"knowledge, time, £",85.71,45.83,5.5,5.333333333333333,65.77,somewhat agree,somewhat agree,neither agree nor disagree,somewhat likely,Neither much nor little,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Slightly leading edge,Slightly easy,somewhat agree,4.5,5,5.5,5.4,4.666666666666667
T2 (end),2023-06-01T10:48:15Z,502,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,"Time, accessibility, knowledge",42.86,54.17,5.5,5,48.515,neither agree nor disagree,somewhat agree,somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Slightly supportive,Neither easy nor complicated,Slightly efficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Easy,agree,5,4,5.125,5.3,4.666666666666667
T2 (end),2023-06-09T09:44:21Z,634,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,agree,NA,85.71,41.67,5.5,5.666666666666667,63.69,agree,agree,agree,likely,Somewhat much,somewhat agree,somewhat agree,Neither supportive nor obstructive,Slightly easy,Slightly inefficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Slightly difficult,agree,5.5,5,4.875,4.8,6
