StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1 ID,Q2 age,Q3 sex,Q3 sex_3_TEXT,Q4 degree,Q5 adults,Q5 adults_3_TEXT,Q6 children,Q6 children_3_TEXT,Q7 main grocery,Q32,Q32_7_TEXT,Q8 grocer,Q9 online,Q10 meal box,Q11 veggiebox,Q12 farm,Q13 takeout,Q14 other source,Q14 other source_2_TEXT,Q27,Q28,Q33,Q34,Q35,Q36,Q42,Q43,Q45,Q32,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35_1,Q35_2,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9
2023-04-26 18:52:55,2023-04-26 18:58:08,0,90.246.39.3,100,312,1,2023-04-26 18:58:09,R_x5Bc9onnRVZtXoZ,,,,,54.7699,-1.559,anonymous,EN,19,3,1,,6,2,,1,,2,3,,5,1,1,1,1,1,2,Food waste boxes about once a month,1,,6,6,2,6,6,5,6,,3,2,4,5,7,1,6,8,7,4,1,5,3,2,6
2023-04-27 16:07:13,2023-04-27 16:12:35,0,92.28.150.62,100,322,1,2023-04-27 16:12:36,R_2Bfwy2kUfyuM1c0,,,,,54.8534,-1.5147,anonymous,EN,19,3,1,,7,1,,1,,3,3,,3,1,2,3,1,1,1,,1,,7,7,2,7,5,6,5,"availability of certain items, or knowing how to change the palette to what can be sourced locally (like seasonal vegetables)",4,1,2,7,5,3,6,4,6,2,1,8,5,3,7
2023-05-01 17:09:34,2023-05-01 17:15:25,0,213.205.241.52,100,350,1,2023-05-01 17:15:26,R_1H5CcoGMiOlQzst,,,,,51.5164,-0.093,anonymous,EN,16,3,1,,5,2,,1,,3,3,,3,1,1,3,1,2,1,,2,"WWF website ",7,6,2,5,3,2,5,Somtimes budget and often easily accessible information,6,3,7,1,5,4,2,5,3,7,1,8,4,2,6
2023-05-01 18:52:22,2023-05-01 18:57:35,0,82.33.112.125,100,312,1,2023-05-01 18:57:36,R_3DtnDWX09i0GwjY,,,,,54.9735,-1.5673,anonymous,EN,22,3,1,,7,2,,1,,2,5,,2,6,1,1,1,1,1,,1,,7,6,1,6,7,5,5,laziness,6,1,7,4,5,2,3,3,5,1,6,8,7,4,2
2023-05-01 18:52:25,2023-05-01 18:57:41,0,82.33.112.125,100,316,1,2023-05-01 18:57:41,R_33f3NJuPymD79wl,,,,,54.9735,-1.5673,anonymous,EN,21,3,2,,8,2,,1,,3,4,,2,5,1,1,1,1,1,,1,,7,6,2,6,6,3,5,"Convenience, lack of effort on my part, feeling a bit overwhelmed by it",6,3,4,2,7,1,5,2,1,4,5,8,3,7,6
2023-05-02 12:03:31,2023-05-02 12:11:08,0,128.240.225.60,100,456,1,2023-05-02 12:11:10,R_3L6AWU2nESgnEar,,,,,54.9742,-1.615,anonymous,EN,23,3,2,,7,2,,1,,3,5,,3,1,1,3,3,2,2,"French family sending us some food/treats every so often (chocolate, vinegar, nuts etc.)",1,,7,6,1,6,5,4,5,"Maybe I don't know enough about how to do this efficiently or I don't read enough on the subject to feel informed enough. ",5,2,7,4,6,1,3,4,3,8,2,6,1,5,7
2023-05-02 14:11:29,2023-05-02 14:18:36,0,86.24.71.233,100,426,1,2023-05-02 14:18:38,R_2Pzg9CKm6j5FlvV,,,,,54.5245,-1.551,anonymous,EN,24,3,1,,6,2,,1,,3,3,,6,1,1,1,1,2,2,Milk (twice a week) and eggs (once a week) delivered to house,1,,7,5,1,5,6,3,5,Lack of knowledge/understanding,7,2,4,5,6,1,3,8,1,2,6,3,5,7,4
2023-05-02 19:26:06,2023-05-02 19:32:33,0,148.252.129.107,100,386,1,2023-05-02 19:32:33,R_2Yoa54PvCFZm5sW,,,,,51.4964,-0.1224,anonymous,EN,15,3,2,,6,2,,1,,3,4,,5,1,1,2,1,2,1,,1,,7,7,1,7,6,5,4,Cost,6,1,7,2,5,3,4,5,4,1,6,7,8,2,3
2023-05-03 10:44:55,2023-05-03 10:52:06,0,172.226.0.22,100,430,1,2023-05-03 10:52:07,R_25HeJFEesZV8pTI,,,,,51.5095,-0.0955,anonymous,EN,27,4,1,,2,2,,1,,1,2,,5,2,2,1,1,2,1,,1,,6,4,2,5,6,2,2,Lack of information about foodprint,5,2,1,4,6,3,7,2,4,7,6,5,1,8,3
2023-05-03 10:44:55,2023-05-03 10:52:44,0,86.128.181.81,100,469,1,2023-05-03 10:52:45,R_1OhFv2gW5RE1Co1,,,,,54.9735,-1.5673,anonymous,EN,26,4,2,,5,2,,1,,2,2,,3,3,2,1,1,1,1,,1,,6,5,3,3,6,3,3,Packaging which food is wrapped in by the supermarkets and lack of knowledge of the alternatives.,7,1,4,2,6,3,5,1,2,7,6,5,4,8,3
2023-05-03 17:40:16,2023-05-03 17:49:18,0,86.172.218.4,100,542,1,2023-05-03 17:49:19,R_2Sw91dYcUNVK13u,,,,,54.9735,-1.5673,anonymous,EN,28,6,1,,5,3,3,1,,1,4,,2,5,3,1,1,2,1,,1,,6,5,1,3,5,3,5,time and effort,4,1,5,2,6,3,7,1,2,5,7,8,6,4,3
2023-05-03 17:47:12,2023-05-03 17:52:28,0,86.172.218.4,100,316,1,2023-05-03 17:52:29,R_2AXuW45jy6QR9qx,,,,,54.9735,-1.5673,anonymous,EN,31,6,2,,6,3,3,1,,1,4,,2,2,3,1,1,2,1,,1,,5,4,3,5,5,4,4,Time effort,7,6,3,2,5,1,4,4,5,3,2,8,6,1,7
2023-05-03 20:28:37,2023-05-03 20:38:25,0,31.94.25.160,100,588,1,2023-05-03 20:38:25,R_ZF62UE7yF6KWcQF,,,,,51.4964,-0.1224,anonymous,EN,25,3,1,,4,2,,1,,3,5,,3,1,1,3,1,1,1,,1,,6,6,3,6,2,6,5,The desire not to care,7,1,6,4,2,3,5,2,1,8,3,6,7,4,5
2023-05-04 09:09:37,2023-05-04 09:15:29,0,90.242.87.237,100,352,1,2023-05-04 09:15:30,R_263wpQtjV68r9wU,,,,,53.7663,-1.5695,anonymous,EN,29,3,2,,5,2,,1,,3,5,,2,1,1,2,2,2,2,street market stalls,1,,7,7,2,7,7,4,6,,6,1,5,7,4,2,3,2,1,8,4,5,7,3,6
2023-05-04 09:07:27,2023-05-04 09:17:59,0,5.255.52.8,100,632,1,2023-05-04 09:18:01,R_2fdQs3WfRkSyZNU,,,,,50.6996,-3.4923,anonymous,EN,30,3,1,,5,2,,1,,3,2,,3,1,1,3,2,1,1,,1,,6,5,1,5,5,6,5,"Cost and ease of use. Generally eat low foodprint vegetables (and some fruit). But low foodprint meat is generally from traditional outlets e.g. butchers which are open 9-5 (working hours) and generally more expensive. ",4,1,6,3,2,7,5,1,2,4,5,7,3,6,8
2023-05-05 09:05:11,2023-05-05 09:08:10,0,86.149.46.140,100,179,1,2023-05-05 09:08:12,R_3PBngfXLULsbNXp,,,,,52.6667,-0.6667,anonymous,EN,31,6,1,,5,2,,1,,3,2,,6,2,1,1,1,1,1,,1,,7,6,1,7,7,6,7,,4,1,3,5,2,7,6,6,8,1,4,2,5,3,7
2023-05-09 12:04:22,2023-05-09 12:09:39,0,128.240.225.23,100,316,1,2023-05-09 12:09:40,R_2WuSQsGxRCJK4Bf,,,,,54.9881,-1.6194,anonymous,EN,32,4,1,,7,2,,4,,1,2,,3,3,1,1,1,2,1,,1,,6,4,3,5,5,3,4,lack of knowledge about the carbon impact of some choices,5,2,3,6,7,1,4,1,4,5,2,8,3,6,7
