StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1 ID,Q33,Q34,Q35,Q36,Q42,Q43,Q45,Q32,Q58,Q61,Q53,Q54,Q31,Q32,Q34,Q37,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q49,Q63
2023-05-17 09:05:12,2023-05-17 09:06:39,Survey Preview,,100,87,True,2023-05-17 09:06:41,R_125AsOSvzeDhAvZ,,,,,40.6439,22.9358,preview,EN,1,002,disagree,strongly disagree,neither agree nor disagree,somewhat disagree,disagree,neither agree nor disagree,neither agree nor disagree,sdfsf,Neither agree nor disagree,Somewhat agree,Disagree,,somewhat unlikely,Neither much nor little,somewhat disagree,neither agree nor disagree,1,7,3,5,4,6,2,3,6,2,8,7,4,5,1,Neither supportive nor obstructive,Slightly complicated,Slightly inefficient,Moderately confusing,Neither exciting nor boring,Slightly interesting,Slightly conventional,Slightly usual,Slightly easy,Somewhat agree
2023-05-17 09:38:28,2023-05-17 09:43:45,IP Address,128.240.225.3,100,316,True,2023-05-17 09:43:46,R_3LZ67Liat4ZUAoA,,,,,54.9881,-1.6194,anonymous,EN,0.8999999761581421,012,agree,somewhat agree,strongly disagree,agree,somewhat agree,somewhat agree,somewhat agree,"After having recent struggles with my weight, I am prioritising high calorie and high protein meals to maintain a healthy weight. This is being prioritised above eating less meat and eating more sustainably sourced foods, but as I become a more stable weight, I will slowly try to make small changes  to improve my foodprint",Strongly agree,Strongly agree,Agree,,somewhat likely,Much,somewhat agree,somewhat agree,7,4,1,6,5,2,3,7,4,2,1,5,8,6,3,Very supportive,Very easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Very leading edge,Very easy,Strongly agree
2023-05-17 13:19:27,2023-05-17 13:29:25,IP Address,128.240.225.44,100,598,True,2023-05-17 13:29:26,R_2alB3gHLREV9q6K,,,,,54.9881,-1.6194,anonymous,EN,1,014,strongly agree,agree,strongly disagree,agree,agree,somewhat agree,somewhat agree,Cost of cheaply produced food being significantly lower than locally/low footprint foods,Agree,Agree,Agree,,somewhat likely,Very much,somewhat agree,somewhat agree,7,4,5,3,6,1,2,3,1,7,6,5,4,8,2,Supportive,Easy,Efficient,Moderately clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Slightly easy,Strongly agree
2023-05-18 08:37:46,2023-05-18 08:41:06,IP Address,84.70.85.5,100,200,True,2023-05-18 08:41:07,R_3sohpbELhJjkEya,,,,,53.6562,-1.4326,anonymous,EN,0.8999999761581421,011,agree,agree,disagree,agree,agree,agree,agree,,Agree,Agree,Agree,,somewhat likely,Much,agree,somewhat agree,5,4,2,7,6,1,3,5,6,4,3,8,2,1,7,Supportive,Easy,Slightly efficient,Clear,Slightly exciting,Slightly interesting,Neither inventive nor conventional,Neither leading edge nor usual,Easy,Agree
2023-05-18 09:00:56,2023-05-18 09:06:07,IP Address,92.40.173.50,100,310,True,2023-05-18 09:06:08,R_eVybbv8AZw7yYZH,,,,,51.3878,-0.2945,anonymous,EN,1,017,agree,somewhat agree,somewhat disagree,agree,somewhat agree,somewhat agree,agree,,Agree,Agree,Somewhat agree,,likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,7,5,3,4,6,1,2,8,1,6,4,3,7,5,2,Supportive,Easy,Efficient,Very clear,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly difficult,Strongly agree
2023-05-18 17:08:54,2023-05-18 17:14:25,IP Address,178.85.121.25,100,331,True,2023-05-18 17:14:26,R_22rx2llcfJ0KD0x,,,,,52.6325,4.7538,anonymous,EN,1,020,agree,agree,strongly disagree,strongly agree,somewhat agree,somewhat agree,agree,,Agree,Somewhat agree,Neither agree nor disagree,,somewhat unlikely,Somewhat little,somewhat agree,disagree,5,3,2,6,7,1,4,5,3,4,1,8,7,2,6,Supportive,Easy,Very efficient,Very clear,Neither exciting nor boring,Interesting,Inventive,Slightly leading edge,Very easy,Somewhat agree
2023-05-22 08:39:33,2023-05-22 09:01:51,IP Address,84.70.85.5,100,1337,True,2023-05-22 09:01:52,R_2WSHpeMmom8SpXq,,,,,53.6562,-1.4326,anonymous,EN,1,019,agree,agree,disagree,strongly agree,strongly agree,somewhat agree,agree,,Agree,Agree,Agree,,somewhat likely,Much,somewhat agree,somewhat agree,6,3,5,4,7,1,2,7,5,4,1,8,2,3,6,Slightly supportive,Easy,Efficient,Moderately clear,Neither exciting nor boring,Slightly interesting,Inventive,Slightly leading edge,Slightly difficult,Agree
2023-05-23 09:37:39,2023-05-23 09:40:52,IP Address,78.145.203.57,100,192,True,2023-05-23 09:40:53,R_1IRRuQ9e5min6NA,,,,,53.2893,-3.4675,anonymous,EN,0.8999999761581421,015,strongly agree,agree,disagree,somewhat agree,somewhat agree,agree,agree,,Agree,Agree,Somewhat agree,,likely,Very much,agree,agree,7,3,5,4,6,1,2,4,5,2,1,6,3,8,7,Supportive,Slightly easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,Strongly agree
2023-05-23 09:50:01,2023-05-23 09:55:21,IP Address,86.24.71.233,100,319,True,2023-05-23 09:55:22,R_3z1R3HrelaVsoed,,,,,54.5245,-1.551,anonymous,EN,0.8999999761581421,024,strongly agree,somewhat agree,strongly disagree,agree,agree,somewhat agree,agree,,Agree,Agree,Agree,,likely,Much,somewhat agree,neither agree nor disagree,7,5,1,4,6,3,2,8,6,3,2,5,1,4,7,Supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Inventive,Leading edge,Difficult,Agree
2023-05-23 11:24:03,2023-05-23 11:29:14,IP Address,159.242.69.70,100,311,True,2023-05-23 11:29:15,R_33Byzqwl8tMyDuV,,,,,52.6733,-1.1913,anonymous,EN,0.8999999761581421,025,agree,agree,disagree,agree,somewhat agree,somewhat agree,somewhat agree,"The good taste of middle class life ! ",Agree,Agree,Somewhat agree,,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,7,1,5,6,4,2,3,5,4,6,8,1,3,7,2,Supportive,Easy,Efficient,Clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,Strongly agree
2023-05-23 15:04:05,2023-05-23 15:08:22,IP Address,82.33.112.125,100,256,True,2023-05-23 15:08:23,R_1i3ChEVKaSQ3PPl,,,,,54.9735,-1.5673,anonymous,EN,1,022,strongly agree,agree,strongly disagree,strongly agree,agree,agree,somewhat agree,Laziness and the desire to eat out of season fruit/vegetables,Agree,Somewhat agree,Neither agree nor disagree,,somewhat likely,Somewhat much,somewhat agree,neither agree nor disagree,7,5,1,4,6,2,3,4,3,1,6,8,2,7,5,Slightly supportive,Very easy,Very efficient,Very clear,Slightly exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,Agree
2023-05-23 15:57:17,2023-05-23 18:14:01,IP Address,128.240.225.60,100,8203,True,2023-05-23 18:14:01,R_2xRCSQ17odanD80,,,,,54.9881,-1.6194,anonymous,EN,1,023,agree,somewhat agree,disagree,agree,somewhat agree,somewhat agree,agree,,Somewhat agree,Agree,Somewhat agree,,likely,Somewhat much,strongly agree,somewhat agree,6,3,5,7,4,2,1,3,2,6,7,1,4,8,5,Neither supportive nor obstructive,Slightly easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,Agree
2023-05-24 12:05:26,2023-05-24 12:13:12,IP Address,146.198.135.39,100,465,True,2023-05-24 12:13:13,R_2c0jH8Bfdxlmbeh,,,,,54.9735,-1.5673,anonymous,EN,1,013,agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,"Access to foods, cost/finances, balancing with nutrition, mix of easy to store or cook and time to cook, and balancing environmental interests (low water consumption, low plastics).",Neither agree nor disagree,Somewhat agree,Disagree,,somewhat unlikely,Neither much nor little,somewhat agree,somewhat agree,6,4,1,5,7,3,2,8,4,3,2,6,1,5,7,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Slightly inventive,Slightly leading edge,Slightly easy,Neither agree nor disagree
2023-05-25 09:21:34,2023-05-25 09:29:55,IP Address,86.164.192.41,100,500,True,2023-05-25 09:29:56,R_1I6QexE582LIT2A,,,,,54.9735,-1.5673,anonymous,EN,1,018,agree,agree,disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,"Lack of choice between higher and lower footprint options. For example, can't buy some types of frozen veg, only green veg available fresh is airfreighted, alternative swaps are not similar replacements.",Somewhat agree,Agree,Somewhat agree,,somewhat likely,Somewhat much,somewhat agree,disagree,7,3,1,5,6,2,4,8,4,5,1,7,3,2,6,Supportive,Slightly complicated,Efficient,Very clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Difficult,Disagree
2023-05-25 10:58:16,2023-05-25 11:10:58,IP Address,146.75.168.38,100,761,True,2023-05-25 11:10:59,R_5sYgL0V3i7caNtD,,,,,51.4794,-0.2912,anonymous,EN,0.8999999761581421,027,agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,agree,agree,,Somewhat agree,Strongly agree,Somewhat agree,,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,6,5,1,7,2,3,4,6,5,4,1,8,3,2,7,Supportive,Slightly easy,Slightly efficient,Clear,Neither exciting nor boring,Very interesting,Slightly inventive,Neither leading edge nor usual,Slightly easy,Agree
2023-05-25 11:51:53,2023-05-25 11:57:33,IP Address,82.132.187.198,100,339,True,2023-05-25 11:57:34,R_d5SlRkMRon9T8Nb,,,,,53.8318,-1.5358,anonymous,EN,0.8999999761581421,021,strongly agree,agree,strongly disagree,strongly agree,agree,somewhat agree,somewhat agree,"Knowing differences between certain foods and why ie. Different types of cheese ",Agree,Strongly agree,Strongly agree,,very likely,Much,agree,agree,6,2,7,4,5,1,3,3,2,1,4,8,5,7,6,Neither supportive nor obstructive,Very easy,Efficient,Clear,Slightly exciting,Interesting,Very inventive,Very leading edge,Easy,Strongly agree
2023-05-26 12:05:44,2023-05-26 12:10:56,IP Address,92.40.201.215,100,312,True,2023-05-26 12:10:57,R_2v8hW7OvSfnpZO9,,,,,54.5744,-1.2317,anonymous,EN,1,030,agree,somewhat agree,disagree,somewhat agree,agree,agree,agree,,Agree,Strongly agree,Strongly agree,,likely,Much,disagree,disagree,7,5,1,6,4,3,2,1,4,6,7,2,8,5,3,Very supportive,Very easy,Very efficient,Moderately clear,Exciting,Very interesting,Inventive,Leading edge,Easy,Strongly agree
2023-05-26 16:54:41,2023-05-26 16:59:53,IP Address,86.128.181.81,100,311,True,2023-05-26 16:59:54,R_3EhDyPKqyReEUAr,,,,,54.9735,-1.5673,anonymous,EN,0.8999999761581421,026,agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,"Packaging of foods and lack of knowledge of the alternatives. ",Agree,Agree,Neither agree nor disagree,,likely,Much,agree,agree,7,2,3,1,4,6,5,3,2,6,8,5,1,7,4,Very supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Very leading edge,Neither easy nor difficult,Agree
2023-05-27 07:06:53,2023-05-27 07:11:48,IP Address,109.159.61.132,100,294,True,2023-05-27 07:11:49,R_2dzhkmRCDNT5DFb,,,,,52.6667,-0.6667,anonymous,EN,1,031,agree,agree,disagree,agree,agree,somewhat agree,agree,,Agree,Somewhat agree,Somewhat agree,,likely,Very much,neither agree nor disagree,neither agree nor disagree,7,5,4,6,3,1,2,6,2,1,8,5,3,7,4,Supportive,Slightly complicated,Neither efficient nor inefficient,Confusing,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly easy,Agree
2023-05-31 16:14:29,2023-05-31 16:36:06,IP Address,90.242.87.237,100,1297,True,2023-05-31 16:36:07,R_1Nkr3YZQV1OOWdX,,,,,53.7663,-1.5695,anonymous,EN,1,029,strongly agree,agree,disagree,agree,strongly agree,somewhat agree,somewhat agree,"access to low carbon footprint stores/shops, time ",Agree,Agree,Agree,,likely,Much,agree,somewhat agree,6,1,7,5,4,3,2,3,2,6,5,4,1,7,8,Supportive,Easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Slightly leading edge,Very easy,Strongly agree
2023-06-01 10:48:12,2023-06-01 10:54:48,IP Address,85.255.232.252,100,396,True,2023-06-01 10:54:49,R_27D6i0TA9rmphka,,,,,51.4964,-0.1224,anonymous,EN,1,028,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,somewhat agree,"knowledge, time, £",Somewhat agree,Somewhat agree,Neither agree nor disagree,,somewhat likely,Neither much nor little,somewhat agree,somewhat agree,6,2,1,5,7,4,3,2,3,1,4,7,5,8,6,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Slightly leading edge,Slightly easy,Somewhat agree
2023-06-01 10:48:15,2023-06-01 10:56:37,IP Address,31.94.8.154,100,502,True,2023-06-01 10:56:38,R_3n7cD7B0KxMVRo8,,,,,51.5245,-0.1567,anonymous,EN,0.800000011920929,039,agree,somewhat agree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,"Time, accessibility, knowledge ",Neither agree nor disagree,Somewhat agree,Somewhat agree,,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,5,2,1,3,4,7,6,5,7,1,3,8,4,2,6,Slightly supportive,Neither easy nor complicated,Slightly efficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Easy,Agree
2023-06-09 09:44:21,2023-06-09 09:54:55,IP Address,31.94.9.50,100,634,True,2023-06-09 09:54:55,R_3fkRGZV6X2RXipv,,,,,51.5268,-0.187,anonymous,EN,0.8999999761581421,32,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,agree,,Agree,Agree,Agree,,likely,Somewhat much,somewhat agree,somewhat agree,6,5,3,4,7,1,2,2,1,8,7,5,3,6,4,Neither supportive nor obstructive,Slightly easy,Slightly inefficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Slightly difficult,Agree
